stim,pos,size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,text.started,text.stopped,kbRight.started,kbRight.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rest_image.started,rest_image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,kbLeft.started,kbLeft.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_2.started,text_2.stopped,sbj,hndns,eye,sex,age,edu,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.58232009992935,None,72.54963059991132,None,space,12.12683379999362,72.54963059991132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
60.bmp,"(4, 0)","(7, 7)",0,0,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.727790899924,None,85.22210070001893,85.27188399992883,p,7.982039300026372,85.22210070001893,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
40.bmp,"(0, -7)","(10.5, 10.5)",0,1,1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.23132829996757,None,93.73111179994885,93.7810657999944,o,0.6388097000308335,93.73111179994885,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
70.bmp,"(0, 0)","(4.375, 4.375)",0,2,2,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.39709129999392,None,94.89641029993072,94.94630279997364,p,5.653928500018083,94.89641029993072,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(6.06, 3.5)","(10.5, 10.5)",0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.57523630000651,None,101.0746771999402,101.12454200000502,o,5.024960900074802,101.0746771999402,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(0, 7)","(10.5, 10.5)",0,4,4,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.11998889991082,None,106.61971529992297,106.66960559994914,p,2.869373800000176,106.61971529992297,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(6.06, 3.5)","(10.5, 10.5)",0,5,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.51734269992448,None,110.01661369996145,110.06684999994468,o,0.5402657999657094,110.01661369996145,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,6,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.58268659992609,None,111.0824685000116,111.13286739995237,p,1.0354476000647992,111.0824685000116,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(6.06, 3.5)","(10.5, 10.5)",0,7,7,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.14823709998745,None,112.64809609996155,112.69750889996067,o,2.4107775000156835,112.64809609996155,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
60.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,8,8,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.07895899994764,None,115.57892629993148,115.6285950000165,o,1.8460352000547573,115.57892629993148,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(2, 6.92)","(7, 7)",0,9,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.44373719999567,None,117.94307749997824,117.99287640000694,p,1.6550873999949545,117.94307749997824,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
50.bmp,"(0, 0)","(4.375, 4.375)",0,10,10,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.62488829996437,None,120.12460979993921,120.17483059992082,o,3.088462400017306,120.12460979993921,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
10.bmp,"(4, 0)","(7, 7)",0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.23861829994712,None,123.73817679996137,123.78800219995901,p,0.9921665999572724,123.73817679996137,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(0, 0)","(4.375, 4.375)",0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.75389449996874,None,125.25353799993172,125.30358199996408,p,0.9569793000118807,125.25353799993172,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
70.bmp,"(4, 0)","(7, 7)",0,13,13,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.23574629996438,None,126.73576740000863,126.78536079998594,p,1.014438100042753,126.73576740000863,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
