sbj	stim	rt	key	pos	uhnd	hndns	eye	sex	age	edu
8101992752	80.bmp	0.7065792	o	3	r	r	l	m	25	3
8101992752	20.bmp	0.4967412	p	11	r	r	l	m	25	3
8101992752	60.bmp	0.6612757	o	2	r	r	l	m	25	3
8101992752	80.bmp	0.5383141	o	1	r	r	l	m	25	3
8101992752	10.bmp	0.4578588	o	6	r	r	l	m	25	3
8101992752	20.bmp	0.6469824	p	10	r	r	l	m	25	3
8101992752	30.bmp	0.4793883	p	3	r	r	l	m	25	3
8101992752	40.bmp	0.3968535	o	1	r	r	l	m	25	3
8101992752	0.bmp	0.4529682	p	3	r	r	l	m	25	3
8101992752	10.bmp	0.5882703	p	3	r	r	l	m	25	3
8101992752	60.bmp	1.0224906	p	4	r	r	l	m	25	3
8101992752	30.bmp	0.5633819	o	7	r	r	l	m	25	3
8101992752	40.bmp	0.4885588	o	13	r	r	l	m	25	3
8101992752	70.bmp	0.5181672	o	7	r	r	l	m	25	3
8101992752	60.bmp	0.4556613	p	13	r	r	l	m	25	3
8101992752	80.bmp	0.4597873	p	9	r	r	l	m	25	3
8101992752	0.bmp	0.3779753	o	2	r	r	l	m	25	3
8101992752	0.bmp	0.662296	o	13	r	r	l	m	25	3
8101992752	10.bmp	0.4860896	o	1	r	r	l	m	25	3
8101992752	60.bmp	0.4915495	p	6	r	r	l	m	25	3
8101992752	70.bmp	0.3403729	p	3	r	r	l	m	25	3
8101992752	10.bmp	0.5609804	p	10	r	r	l	m	25	3
8101992752	10.bmp	0.5462962	p	7	r	r	l	m	25	3
8101992752	10.bmp	0.5757271	p	5	r	r	l	m	25	3
8101992752	0.bmp	1.2469113	p	11	r	r	l	m	25	3
8101992752	30.bmp	0.4494857	p	9	r	r	l	m	25	3
8101992752	10.bmp	0.4285621	p	9	r	r	l	m	25	3
8101992752	30.bmp	0.5680014	p	8	r	r	l	m	25	3
8101992752	60.bmp	0.3464441	o	9	r	r	l	m	25	3
8101992752	20.bmp	0.4199826	o	9	r	r	l	m	25	3
8101992752	70.bmp	0.5326675	o	2	r	r	l	m	25	3
8101992752	40.bmp	0.5275791	o	4	r	r	l	m	25	3
8101992752	0.bmp	0.5158341	o	5	r	r	l	m	25	3
8101992752	70.bmp	0.6545805	o	4	r	r	l	m	25	3
8101992752	70.bmp	0.3536085	p	6	r	r	l	m	25	3
8101992752	50.bmp	0.5855282	p	6	r	r	l	m	25	3
8101992752	30.bmp	0.7872255	o	4	r	r	l	m	25	3
8101992752	20.bmp	0.7213474	o	2	r	r	l	m	25	3
8101992752	40.bmp	0.6932307	o	9	r	r	l	m	25	3
8101992752	10.bmp	0.6196611	p	11	r	r	l	m	25	3
8101992752	10.bmp	0.8096352	p	2	r	r	l	m	25	3
8101992752	40.bmp	0.5884988	p	10	r	r	l	m	25	3
8101992752	70.bmp	0.762008	o	13	r	r	l	m	25	3
8101992752	80.bmp	0.6106878	p	5	r	r	l	m	25	3
8101992752	50.bmp	0.5802959	o	9	r	r	l	m	25	3
8101992752	70.bmp	0.6338324	o	11	r	r	l	m	25	3
8101992752	0.bmp	0.5103387	o	4	r	r	l	m	25	3
8101992752	80.bmp	0.6275375	p	12	r	r	l	m	25	3
8101992752	40.bmp	0.6446413	p	2	r	r	l	m	25	3
8101992752	30.bmp	0.5742445	p	5	r	r	l	m	25	3
8101992752	40.bmp	0.5709002	p	7	r	r	l	m	25	3
8101992752	0.bmp	0.5658917	p	6	r	r	l	m	25	3
8101992752	20.bmp	0.6407287	p	4	r	r	l	m	25	3
8101992752	0.bmp	0.4390202	o	9	r	r	l	m	25	3
8101992752	50.bmp	0.4621476	o	10	r	r	l	m	25	3
8101992752	30.bmp	0.4576964	p	12	r	r	l	m	25	3
8101992752	60.bmp	0.6627247	p	5	r	r	l	m	25	3
8101992752	40.bmp	0.7767483	p	6	r	r	l	m	25	3
8101992752	60.bmp	0.7688453	o	7	r	r	l	m	25	3
8101992752	70.bmp	0.8221493	o	10	r	r	l	m	25	3
8101992752	50.bmp	0.7087251	p	11	r	r	l	m	25	3
8101992752	60.bmp	0.8015371	p	12	r	r	l	m	25	3
8101992752	50.bmp	0.838987	o	5	r	r	l	m	25	3
8101992752	30.bmp	0.7345552	p	11	r	r	l	m	25	3
8101992752	80.bmp	0.9316826	o	6	r	r	l	m	25	3
8101992752	20.bmp	0.70487	p	5	r	r	l	m	25	3
8101992752	70.bmp	0.5230776	o	12	r	r	l	m	25	3
8101992752	20.bmp	0.612236	p	12	r	r	l	m	25	3
8101992752	70.bmp	0.7955785	o	5	r	r	l	m	25	3
8101992752	50.bmp	0.6360237	o	8	r	r	l	m	25	3
8101992752	50.bmp	0.4953094	p	7	r	r	l	m	25	3
8101992752	30.bmp	0.6347096	o	2	r	r	l	m	25	3
8101992752	10.bmp	0.6977785	p	12	r	r	l	m	25	3
8101992752	80.bmp	0.562929	o	4	r	r	l	m	25	3
8101992752	80.bmp	0.4987223	o	10	r	r	l	m	25	3
8101992752	20.bmp	0.6309152	p	7	r	r	l	m	25	3
8101992752	20.bmp	0.4878245	o	3	r	r	l	m	25	3
8101992752	40.bmp	0.6024894	p	12	r	r	l	m	25	3
8101992752	60.bmp	0.4415488	o	3	r	r	l	m	25	3
8101992752	20.bmp	0.4259732	p	13	r	r	l	m	25	3
8101992752	0.bmp	0.4179657	o	10	r	r	l	m	25	3
8101992752	70.bmp	0.6706354	o	9	r	r	l	m	25	3
8101992752	40.bmp	0.5963048	o	3	r	r	l	m	25	3
8101992752	50.bmp	0.5453825	o	4	r	r	l	m	25	3
8101992752	30.bmp	0.5666443	p	6	r	r	l	m	25	3
8101992752	80.bmp	0.5351423	p	8	r	r	l	m	25	3
8101992752	10.bmp	0.5071298	o	4	r	r	l	m	25	3
8101992752	80.bmp	0.5908206	p	13	r	r	l	m	25	3
8101992752	70.bmp	0.7518319	p	8	r	r	l	m	25	3
8101992752	50.bmp	0.8726963	p	13	r	r	l	m	25	3
8101992752	50.bmp	0.4964449	p	1	r	r	l	m	25	3
8101992752	30.bmp	0.4704193	p	13	r	r	l	m	25	3
8101992752	30.bmp	0.4808437	o	10	r	r	l	m	25	3
8101992752	0.bmp	0.5002632	o	12	r	r	l	m	25	3
8101992752	60.bmp	0.8309325	p	10	r	r	l	m	25	3
8101992752	80.bmp	0.6160808	o	11	r	r	l	m	25	3
8101992752	70.bmp	0.6689874	p	1	r	r	l	m	25	3
8101992752	10.bmp	0.5823165	p	8	r	r	l	m	25	3
8101992752	50.bmp	0.6330975	p	12	r	r	l	m	25	3
8101992752	20.bmp	0.7807577	p	8	r	r	l	m	25	3
8101992752	40.bmp	0.6752822	p	11	r	r	l	m	25	3
8101992752	20.bmp	0.6768267	p	6	r	r	l	m	25	3
8101992752	40.bmp	0.613018	p	5	r	r	l	m	25	3
8101992752	80.bmp	0.6381243	p	7	r	r	l	m	25	3
8101992752	0.bmp	0.8792208	p	1	r	r	l	m	25	3
8101992752	60.bmp	1.9853042	p	11	r	r	l	m	25	3
8101992752	50.bmp	0.5349343	p	2	r	r	l	m	25	3
8101992752	80.bmp	0.492393	p	2	r	r	l	m	25	3
8101992752	10.bmp	0.5307654	p	13	r	r	l	m	25	3
8101992752	60.bmp	0.4404701	p	8	r	r	l	m	25	3
8101992752	30.bmp	0.6457472	p	1	r	r	l	m	25	3
8101992752	60.bmp	0.7218732	p	1	r	r	l	m	25	3
8101992752	50.bmp	0.5192892	o	3	r	r	l	m	25	3
8101992752	40.bmp	0.6148196	o	8	r	r	l	m	25	3
8101992752	0.bmp	0.5572657	o	7	r	r	l	m	25	3
8101992752	20.bmp	0.5811401	p	1	r	r	l	m	25	3
8101992752	0.bmp	0.6214748	p	8	r	r	l	m	25	3
8101992752	50.bmp	0.4690144	p	1	r	r	l	m	25	3
8101992752	70.bmp	0.4835783	p	1	r	r	l	m	25	3
8101992752	20.bmp	0.5144628	p	12	r	r	l	m	25	3
8101992752	60.bmp	0.5458517	p	8	r	r	l	m	25	3
8101992752	70.bmp	0.5848747	o	9	r	r	l	m	25	3
8101992752	40.bmp	0.5062377	o	9	r	r	l	m	25	3
8101992752	80.bmp	0.5885059	p	12	r	r	l	m	25	3
8101992752	60.bmp	0.9779051	p	13	r	r	l	m	25	3
8101992752	50.bmp	0.7457988	p	3	r	r	l	m	25	3
8101992752	10.bmp	0.9168657	p	12	r	r	l	m	25	3
8101992752	0.bmp	0.5329085	o	11	r	r	l	m	25	3
8101992752	20.bmp	0.6760179	p	11	r	r	l	m	25	3
8101992752	50.bmp	0.6324016	o	4	r	r	l	m	25	3
8101992752	70.bmp	0.7251927	p	5	r	r	l	m	25	3
8101992752	10.bmp	0.600404	p	1	r	r	l	m	25	3
8101992752	0.bmp	0.5863642	p	5	r	r	l	m	25	3
8101992752	20.bmp	0.8406758	p	7	r	r	l	m	25	3
8101992752	80.bmp	0.6690096	o	3	r	r	l	m	25	3
8101992752	60.bmp	0.5817683	o	9	r	r	l	m	25	3
8101992752	80.bmp	0.9908866	o	2	r	r	l	m	25	3
8101992752	30.bmp	0.6258509	p	5	r	r	l	m	25	3
8101992752	40.bmp	0.9127545	p	12	r	r	l	m	25	3
8101992752	50.bmp	0.6174025	p	5	r	r	l	m	25	3
8101992752	20.bmp	1.2300162	o	6	r	r	l	m	25	3
8101992752	80.bmp	0.8796302	o	11	r	r	l	m	25	3
8101992752	80.bmp	0.6420081	o	4	r	r	l	m	25	3
8101992752	70.bmp	0.6379318	p	11	r	r	l	m	25	3
8101992752	20.bmp	0.5756776	o	9	r	r	l	m	25	3
8101992752	70.bmp	0.5186135	o	4	r	r	l	m	25	3
8101992752	40.bmp	0.6050183	o	6	r	r	l	m	25	3
8101992752	40.bmp	0.8923114	o	13	r	r	l	m	25	3
8101992752	30.bmp	0.5555083	o	4	r	r	l	m	25	3
8101992752	20.bmp	0.8417902	o	2	r	r	l	m	25	3
8101992752	30.bmp	1.4251715	o	6	r	r	l	m	25	3
8101992752	40.bmp	0.750475	o	7	r	r	l	m	25	3
8101992752	50.bmp	0.8078422	o	7	r	r	l	m	25	3
8101992752	0.bmp	0.7253939	o	8	r	r	l	m	25	3
8101992752	60.bmp	0.4144885	o	2	r	r	l	m	25	3
8101992752	70.bmp	0.4159016	o	12	r	r	l	m	25	3
8101992752	40.bmp	0.5126581	o	11	r	r	l	m	25	3
8101992752	20.bmp	0.6272384	p	5	r	r	l	m	25	3
8101992752	40.bmp	1.0549619	o	2	r	r	l	m	25	3
8101992752	30.bmp	0.718335	p	13	r	r	l	m	25	3
8101992752	30.bmp	0.6716176	p	10	r	r	l	m	25	3
8101992752	50.bmp	0.8856793	o	13	r	r	l	m	25	3
8101992752	50.bmp	0.6794071	o	8	r	r	l	m	25	3
8101992752	30.bmp	0.7467659	o	2	r	r	l	m	25	3
8101992752	80.bmp	0.7411512	p	1	r	r	l	m	25	3
8101992752	80.bmp	0.7126919	o	10	r	r	l	m	25	3
8101992752	80.bmp	0.5768779	o	5	r	r	l	m	25	3
8101992752	70.bmp	0.8856323	o	3	r	r	l	m	25	3
8101992752	0.bmp	0.6140346	p	1	r	r	l	m	25	3
8101992752	30.bmp	0.5482747	o	3	r	r	l	m	25	3
8101992752	10.bmp	0.7126886	p	10	r	r	l	m	25	3
8101992752	10.bmp	0.5509559	o	13	r	r	l	m	25	3
8101992752	30.bmp	0.7904092	p	11	r	r	l	m	25	3
8101992752	20.bmp	0.5221749	p	10	r	r	l	m	25	3
8101992752	40.bmp	0.6850433	p	8	r	r	l	m	25	3
8101992752	50.bmp	0.5416314	o	9	r	r	l	m	25	3
8101992752	50.bmp	0.6019687	p	11	r	r	l	m	25	3
8101992752	50.bmp	0.5596013	p	10	r	r	l	m	25	3
8101992752	60.bmp	0.5505769	o	4	r	r	l	m	25	3
8101992752	70.bmp	0.5927578	o	10	r	r	l	m	25	3
8101992752	20.bmp	0.7268524	p	1	r	r	l	m	25	3
8101992752	10.bmp	0.6606379	o	7	r	r	l	m	25	3
8101992752	30.bmp	0.6619088	p	12	r	r	l	m	25	3
8101992752	0.bmp	0.7369278	p	6	r	r	l	m	25	3
8101992752	30.bmp	0.5751782	o	9	r	r	l	m	25	3
8101992752	70.bmp	0.5610327	p	13	r	r	l	m	25	3
8101992752	70.bmp	0.5003596	o	7	r	r	l	m	25	3
8101992752	10.bmp	0.5869918	p	2	r	r	l	m	25	3
8101992752	30.bmp	0.4765575	p	1	r	r	l	m	25	3
8101992752	80.bmp	0.5898032	o	6	r	r	l	m	25	3
8101992752	60.bmp	0.5749755	p	1	r	r	l	m	25	3
8101992752	40.bmp	0.547908	o	10	r	r	l	m	25	3
8101992752	60.bmp	0.4223418	o	11	r	r	l	m	25	3
8101992752	10.bmp	0.422545	o	4	r	r	l	m	25	3
8101992752	10.bmp	0.3611784	p	8	r	r	l	m	25	3
8101992752	0.bmp	0.6007184	o	2	r	r	l	m	25	3
8101992752	10.bmp	1.0766686	p	11	r	r	l	m	25	3
8101992752	20.bmp	0.7405263	o	8	r	r	l	m	25	3
8101992752	10.bmp	0.5690488	o	9	r	r	l	m	25	3
8101992752	0.bmp	0.5390115	p	12	r	r	l	m	25	3
8101992752	20.bmp	0.721875	o	13	r	r	l	m	25	3
8101992752	30.bmp	0.584884	o	8	r	r	l	m	25	3
8101992752	40.bmp	0.5800613	o	4	r	r	l	m	25	3
8101992752	80.bmp	0.5548322	o	9	r	r	l	m	25	3
8101992752	50.bmp	0.6133078	p	12	r	r	l	m	25	3
8101992752	80.bmp	0.5712399	p	13	r	r	l	m	25	3
8101992752	0.bmp	0.5404203	o	9	r	r	l	m	25	3
8101992752	60.bmp	0.5645328	o	10	r	r	l	m	25	3
8101992752	60.bmp	0.4589025	o	12	r	r	l	m	25	3
8101992752	0.bmp	0.641307	p	10	r	r	l	m	25	3
8101992752	10.bmp	0.5215287	o	6	r	r	l	m	25	3
8101992752	30.bmp	0.4729698	p	7	r	r	l	m	25	3
8101992752	40.bmp	0.4638254	o	5	r	r	l	m	25	3
8101992752	20.bmp	0.4515368	o	3	r	r	l	m	25	3
8101992752	40.bmp	0.4610948	o	3	r	r	l	m	25	3
8101992752	10.bmp	0.4178088	o	3	r	r	l	m	25	3
8101992752	60.bmp	0.7458699	p	5	r	r	l	m	25	3
8101992752	20.bmp	0.4550182	o	4	r	r	l	m	25	3
8101992752	40.bmp	0.6668758	p	1	r	r	l	m	25	3
8101992752	80.bmp	0.6476328	o	8	r	r	l	m	25	3
8101992752	0.bmp	0.5996661	p	3	r	r	l	m	25	3
8101992752	0.bmp	0.4973898	o	7	r	r	l	m	25	3
8101992752	60.bmp	0.4588083	o	6	r	r	l	m	25	3
8101992752	80.bmp	0.4733515	o	7	r	r	l	m	25	3
8101992752	60.bmp	0.4109949	o	3	r	r	l	m	25	3
8101992752	50.bmp	0.5683366	p	6	r	r	l	m	25	3
8101992752	0.bmp	0.4930524	o	4	r	r	l	m	25	3
8101992752	60.bmp	0.6507818	o	7	r	r	l	m	25	3
8101992752	70.bmp	0.8776646	p	8	r	r	l	m	25	3
8101992752	70.bmp	0.6039948	o	6	r	r	l	m	25	3
8101992752	0.bmp	0.7758612	o	13	r	r	l	m	25	3
8101992752	70.bmp	1.2365393	p	2	r	r	l	m	25	3
8101992752	50.bmp	1.1023198	p	2	r	r	l	m	25	3
8101992752	10.bmp	0.6624814	p	5	r	r	l	m	25	3
8101992752	40.bmp	1.3951386	q	7	l	r	l	m	25	3
8101992752	80.bmp	0.5204438	q	9	l	r	l	m	25	3
8101992752	70.bmp	0.4053705	q	12	l	r	l	m	25	3
8101992752	60.bmp	0.5950827	w	13	l	r	l	m	25	3
8101992752	20.bmp	0.5357596	w	1	l	r	l	m	25	3
8101992752	60.bmp	0.432137	w	7	l	r	l	m	25	3
8101992752	70.bmp	0.6542421	w	7	l	r	l	m	25	3
8101992752	20.bmp	0.7233429	w	10	l	r	l	m	25	3
8101992752	0.bmp	0.4581441	w	10	l	r	l	m	25	3
8101992752	50.bmp	0.3766085	w	10	l	r	l	m	25	3
8101992752	30.bmp	0.6355278	w	2	l	r	l	m	25	3
8101992752	80.bmp	0.6498211	q	7	l	r	l	m	25	3
8101992752	60.bmp	0.8443515	w	12	l	r	l	m	25	3
8101992752	50.bmp	0.707076	q	3	l	r	l	m	25	3
8101992752	20.bmp	0.6197696	w	11	l	r	l	m	25	3
8101992752	0.bmp	0.8684186	q	12	l	r	l	m	25	3
8101992752	40.bmp	0.5443698	q	2	l	r	l	m	25	3
8101992752	30.bmp	0.7109337	w	9	l	r	l	m	25	3
8101992752	80.bmp	0.690563	q	12	l	r	l	m	25	3
8101992752	40.bmp	1.376269	q	3	l	r	l	m	25	3
8101992752	50.bmp	0.5042214	q	4	l	r	l	m	25	3
8101992752	60.bmp	0.6051568	w	8	l	r	l	m	25	3
8101992752	10.bmp	0.6932959	w	5	l	r	l	m	25	3
8101992752	10.bmp	0.5505064	w	12	l	r	l	m	25	3
8101992752	10.bmp	0.6197954	q	3	l	r	l	m	25	3
8101992752	80.bmp	0.771875	q	13	l	r	l	m	25	3
8101992752	0.bmp	0.6758081	w	5	l	r	l	m	25	3
8101992752	60.bmp	0.9413596	q	2	l	r	l	m	25	3
8101992752	70.bmp	0.5476833	q	5	l	r	l	m	25	3
8101992752	40.bmp	0.5157967	q	9	l	r	l	m	25	3
8101992752	20.bmp	0.4938068	q	13	l	r	l	m	25	3
8101992752	30.bmp	0.7747021	w	1	l	r	l	m	25	3
8101992752	80.bmp	0.4975399	w	5	l	r	l	m	25	3
8101992752	60.bmp	0.4391216	w	5	l	r	l	m	25	3
8101992752	10.bmp	0.646015	q	4	l	r	l	m	25	3
8101992752	10.bmp	0.6496354	q	8	l	r	l	m	25	3
8101992752	0.bmp	0.6940918	w	13	l	r	l	m	25	3
8101992752	40.bmp	0.5166253	w	1	l	r	l	m	25	3
