sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101992521,80.bmp,0.9321103,o,2,r,r,r,f,22,2
8101992521,10.bmp,0.8657521,p,11,r,r,r,f,22,2
8101992521,50.bmp,0.6761265,o,6,r,r,r,f,22,2
8101992521,70.bmp,0.5940456,o,5,r,r,r,f,22,2
8101992521,80.bmp,0.5857369,o,3,r,r,r,f,22,2
8101992521,80.bmp,0.7436392,o,5,r,r,r,f,22,2
8101992521,60.bmp,0.6533119,p,13,r,r,r,f,22,2
8101992521,0.bmp,0.546641,p,7,r,r,r,f,22,2
8101992521,50.bmp,0.6156014,o,4,r,r,r,f,22,2
8101992521,40.bmp,0.7861827,o,7,r,r,r,f,22,2
8101992521,50.bmp,0.806931,p,2,r,r,r,f,22,2
8101992521,40.bmp,0.6501028,p,9,r,r,r,f,22,2
8101992521,40.bmp,1.4442844,o,13,r,r,r,f,22,2
8101992521,10.bmp,0.6299109,p,5,r,r,r,f,22,2
8101992521,20.bmp,0.663141,p,1,r,r,r,f,22,2
8101992521,80.bmp,0.6462802,o,12,r,r,r,f,22,2
8101992521,30.bmp,0.7923352,p,2,r,r,r,f,22,2
8101992521,20.bmp,2.6063878,p,4,r,r,r,f,22,2
8101992521,60.bmp,0.6700798,o,3,r,r,r,f,22,2
8101992521,60.bmp,0.7737375,o,11,r,r,r,f,22,2
8101992521,20.bmp,0.5787033,p,7,r,r,r,f,22,2
8101992521,70.bmp,0.8515923,p,1,r,r,r,f,22,2
8101992521,0.bmp,0.6972234,p,2,r,r,r,f,22,2
8101992521,40.bmp,0.7664384,o,3,r,r,r,f,22,2
8101992521,20.bmp,0.9221191,p,12,r,r,r,f,22,2
8101992521,60.bmp,0.881659,p,4,r,r,r,f,22,2
8101992521,50.bmp,0.9892401,p,12,r,r,r,f,22,2
8101992521,80.bmp,0.5973516,o,13,r,r,r,f,22,2
8101992521,10.bmp,0.7122717,p,9,r,r,r,f,22,2
8101992521,10.bmp,0.6412179,p,12,r,r,r,f,22,2
8101992521,20.bmp,0.7727108,p,6,r,r,r,f,22,2
8101992521,10.bmp,1.6129583,p,2,r,r,r,f,22,2
8101992521,50.bmp,0.5297832,o,13,r,r,r,f,22,2
8101992521,60.bmp,0.5324749,o,9,r,r,r,f,22,2
8101992521,70.bmp,0.7527609,o,3,r,r,r,f,22,2
8101992521,50.bmp,0.7539898,p,10,r,r,r,f,22,2
8101992521,0.bmp,0.736917,p,8,r,r,r,f,22,2
8101992521,60.bmp,0.5780897,o,12,r,r,r,f,22,2
8101992521,70.bmp,0.6853019,o,11,r,r,r,f,22,2
8101992521,80.bmp,0.5437863,o,8,r,r,r,f,22,2
8101992521,40.bmp,0.6822406,o,4,r,r,r,f,22,2
8101992521,30.bmp,0.5719661,p,11,r,r,r,f,22,2
8101992521,40.bmp,0.5984833,o,8,r,r,r,f,22,2
8101992521,40.bmp,0.6871777,o,1,r,r,r,f,22,2
8101992521,60.bmp,0.6818911,o,8,r,r,r,f,22,2
8101992521,0.bmp,1.301538,p,3,r,r,r,f,22,2
8101992521,40.bmp,0.7325014,p,2,r,r,r,f,22,2
8101992521,30.bmp,0.7122202,o,9,r,r,r,f,22,2
8101992521,30.bmp,0.5555558,p,1,r,r,r,f,22,2
8101992521,30.bmp,0.7902176,p,5,r,r,r,f,22,2
8101992521,30.bmp,1.0398683,o,6,r,r,r,f,22,2
8101992521,10.bmp,0.9473219,p,3,r,r,r,f,22,2
8101992521,30.bmp,1.6077783,p,4,r,r,r,f,22,2
8101992521,20.bmp,0.8553841,p,8,r,r,r,f,22,2
8101992521,20.bmp,0.9305416,p,13,r,r,r,f,22,2
8101992521,50.bmp,1.0487511,p,1,r,r,r,f,22,2
8101992521,50.bmp,1.8682975,p,3,r,r,r,f,22,2
8101992521,0.bmp,0.8115427,p,13,r,r,r,f,22,2
8101992521,10.bmp,0.5757369,p,13,r,r,r,f,22,2
8101992521,0.bmp,2.6821593,p,10,r,r,r,f,22,2
8101992521,50.bmp,0.7522101,o,5,r,r,r,f,22,2
8101992521,80.bmp,0.6073438,o,10,r,r,r,f,22,2
8101992521,70.bmp,0.8573482,p,7,r,r,r,f,22,2
8101992521,0.bmp,1.1153871,p,1,r,r,r,f,22,2
8101992521,30.bmp,2.1594658,p,13,r,r,r,f,22,2
8101992521,40.bmp,1.9653719,p,6,r,r,r,f,22,2
8101992521,70.bmp,0.5893101,o,13,r,r,r,f,22,2
8101992521,0.bmp,0.5766009,p,4,r,r,r,f,22,2
8101992521,80.bmp,0.6201019,o,7,r,r,r,f,22,2
8101992521,10.bmp,1.2270984,o,8,r,r,r,f,22,2
8101992521,0.bmp,0.6833356,p,6,r,r,r,f,22,2
8101992521,40.bmp,0.6599937,o,10,r,r,r,f,22,2
8101992521,40.bmp,0.6587012,o,11,r,r,r,f,22,2
8101992521,10.bmp,0.5096902,p,7,r,r,r,f,22,2
8101992521,60.bmp,0.6428238,o,6,r,r,r,f,22,2
8101992521,20.bmp,0.5325965,p,2,r,r,r,f,22,2
8101992521,70.bmp,0.5909632,o,8,r,r,r,f,22,2
8101992521,0.bmp,0.6007392,p,5,r,r,r,f,22,2
