sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101992751,60.bmp,7.9820393,p,2,r,r,r,m,23,3
8101992751,40.bmp,0.6388097,o,12,r,r,r,m,23,3
8101992751,70.bmp,5.6539285,p,1,r,r,r,m,23,3
8101992751,0.bmp,5.0249609,o,8,r,r,r,m,23,3
8101992751,80.bmp,2.8693738,p,9,r,r,r,m,23,3
8101992751,20.bmp,0.5402658,o,8,r,r,r,m,23,3
8101992751,20.bmp,1.0354476,p,11,r,r,r,m,23,3
8101992751,80.bmp,2.4107775,o,8,r,r,r,m,23,3
8101992751,60.bmp,1.8460352,o,11,r,r,r,m,23,3
8101992751,20.bmp,1.6550874,p,3,r,r,r,m,23,3
8101992751,50.bmp,3.0884624,o,1,r,r,r,m,23,3
8101992751,10.bmp,0.9921666,p,2,r,r,r,m,23,3
8101992751,0.bmp,0.9569793,p,1,r,r,r,m,23,3
8101992751,70.bmp,1.0144381,p,2,r,r,r,m,23,3
8101992751,0.bmp,1.6891094,o,5,r,r,r,m,23,3
8101992751,60.bmp,1.2015306,p,1,r,r,r,m,23,3
8101992751,0.bmp,1.5486366,o,12,r,r,r,m,23,3
8101992751,40.bmp,2.4976943,p,8,r,r,r,m,23,3
8101992751,70.bmp,7.5995153,p,5,r,r,r,m,23,3
8101992751,40.bmp,3.0699029,p,3,r,r,r,m,23,3
8101992751,80.bmp,1.4575323,o,11,r,r,r,m,23,3
8101992751,40.bmp,1.0478775,o,5,r,r,r,m,23,3
8101992751,20.bmp,1.3211366,p,10,r,r,r,m,23,3
8101992751,10.bmp,1.0872076,p,8,r,r,r,m,23,3
8101992751,20.bmp,2.4482238,p,2,r,r,r,m,23,3
8101992751,70.bmp,0.8166665,p,8,r,r,r,m,23,3
8101992751,10.bmp,0.9011559,o,10,r,r,r,m,23,3
8101992751,50.bmp,2.05794,p,2,r,r,r,m,23,3
8101992751,10.bmp,0.4925798,o,5,r,r,r,m,23,3
8101992751,80.bmp,0.7028968,p,7,r,r,r,m,23,3
8101992751,50.bmp,0.4576328,p,11,r,r,r,m,23,3
8101992751,20.bmp,2.5406795,p,5,r,r,r,m,23,3
8101992751,50.bmp,1.507114,p,8,r,r,r,m,23,3
8101992751,60.bmp,3.7432199,p,13,r,r,r,m,23,3
8101992751,80.bmp,0.5734647,p,3,r,r,r,m,23,3
8101992751,50.bmp,0.7150158,p,3,r,r,r,m,23,3
8101992751,10.bmp,0.400726,o,6,r,r,r,m,23,3
8101992751,0.bmp,0.9164182,o,13,r,r,r,m,23,3
8101992751,80.bmp,1.708579,p,13,r,r,r,m,23,3
8101992751,40.bmp,1.3386402,o,11,r,r,r,m,23,3
8101992751,40.bmp,1.9265444,o,2,r,r,r,m,23,3
8101992751,80.bmp,1.1396182,p,12,r,r,r,m,23,3
8101992751,10.bmp,0.9466647,o,7,r,r,r,m,23,3
8101992751,50.bmp,0.9878182,p,13,r,r,r,m,23,3
8101992751,50.bmp,0.9189439,o,6,r,r,r,m,23,3
8101992751,0.bmp,0.9496109,o,6,r,r,r,m,23,3
8101992751,50.bmp,7.3079132,o,5,r,r,r,m,23,3
8101992751,30.bmp,1.2640659,p,8,r,r,r,m,23,3
8101992751,30.bmp,1.0104692,o,12,r,r,r,m,23,3
8101992751,70.bmp,0.7802215,p,11,r,r,r,m,23,3
8101992751,40.bmp,0.8989313,p,9,r,r,r,m,23,3
8101992751,40.bmp,0.7478516,p,4,r,r,r,m,23,3
8101992751,10.bmp,1.992134,o,11,r,r,r,m,23,3
8101992751,20.bmp,1.5473821,p,13,r,r,r,m,23,3
8101992751,40.bmp,1.2051917,p,7,r,r,r,m,23,3
8101992751,30.bmp,0.7084693,p,13,r,r,r,m,23,3
8101992751,60.bmp,0.658105,o,3,r,r,r,m,23,3
8101992751,50.bmp,0.821253,o,9,r,r,r,m,23,3
8101992751,60.bmp,1.6103848,p,8,r,r,r,m,23,3
8101992751,80.bmp,1.3950742,o,6,r,r,r,m,23,3
8101992751,30.bmp,1.327056,p,10,r,r,r,m,23,3
8101992751,0.bmp,2.9362038,o,11,r,r,r,m,23,3
8101992751,60.bmp,0.9440957,p,10,r,r,r,m,23,3
